Date,Medication,Dosage,Time
2025-06-24,Levothyroxine,250mg,20:00
2025-06-24,Atorvastatin,75mg,08:00
2025-06-25,Lisinopril,5mg,18:00
2025-06-25,Lisinopril,10mg,20:00
2025-06-25,Ibuprofen,10mg,14:00
2025-06-26,Lisinopril,10mg,14:00
2025-06-26,Omeprazole,40mg,14:00
2025-06-26,Aspirin,10mg,18:00
2025-06-27,Losartan,75mg,12:00
2025-06-28,Amoxicillin,75mg,20:00
2025-06-28,Aspirin,5mg,20:00
2025-06-28,Aspirin,10mg,12:00
2025-06-29,Amoxicillin,5mg,14:00
2025-06-30,Metformin,75mg,14:00
2025-07-01,Metformin,75mg,12:00
2025-07-01,Albuterol,40mg,20:00
2025-07-02,Ibuprofen,250mg,18:00
2025-07-02,Losartan,10mg,18:00
2025-07-03,Atorvastatin,75mg,08:00
2025-07-03,Ibuprofen,40mg,08:00
2025-07-03,Lisinopril,250mg,18:00
2025-07-04,Omeprazole,75mg,12:00
2025-07-04,Albuterol,250mg,18:00
2025-07-04,Lisinopril,20mg,14:00
2025-07-05,Omeprazole,75mg,12:00
2025-07-06,Amoxicillin,40mg,14:00
2025-07-06,Levothyroxine,500mg,18:00
2025-07-06,Lisinopril,100mg,08:00
2025-07-07,Losartan,20mg,20:00
2025-07-08,Omeprazole,20mg,20:00
2025-07-08,Metformin,10mg,14:00
2025-07-09,Amoxicillin,75mg,14:00
2025-07-09,Lisinopril,20mg,20:00
2025-07-09,Metformin,20mg,14:00
2025-07-10,Metformin,75mg,08:00
2025-07-10,Omeprazole,20mg,14:00
2025-07-11,Metformin,500mg,14:00
2025-07-12,Levothyroxine,10mg,20:00
2025-07-12,Albuterol,500mg,18:00
2025-07-12,Lisinopril,75mg,14:00
2025-07-13,Atorvastatin,40mg,14:00
2025-07-14,Ibuprofen,20mg,12:00
2025-07-15,Lisinopril,500mg,08:00
2025-07-15,Albuterol,75mg,18:00
2025-07-16,Levothyroxine,250mg,08:00
2025-07-16,Omeprazole,10mg,14:00
2025-07-17,Metformin,20mg,20:00
2025-07-17,Lisinopril,500mg,12:00
2025-07-17,Aspirin,5mg,20:00
2025-07-18,Albuterol,100mg,20:00
2025-07-19,Aspirin,250mg,12:00
2025-07-19,Atorvastatin,75mg,12:00
2025-07-20,Metformin,75mg,14:00
2025-07-20,Aspirin,75mg,12:00
2025-07-21,Levothyroxine,100mg,12:00
2025-07-21,Amoxicillin,250mg,08:00
2025-07-22,Metformin,40mg,08:00
2025-07-22,Atorvastatin,100mg,14:00
2025-07-23,Omeprazole,5mg,12:00
